"MAKE","MODEL","TYPE","CYL","ENGINE L","FUEL TANK L","CONS. L/100km","RANGE km"
"Mercedes-Benz","E-Class","Passenger","6","2.9","60","6.0","1,000"
"Jaguar","XF","Passenger","6","3.0","66","6.3","1,048"
"Jaguar","XF","Passenger","4","2.0","66","5.6","1,179"
"BMW","5  Series","Passenger","4","2.0","66","5.2","1,269"
"BMW","5  Series","Passenger","6","3.0","66","5.1","1,294"
"Mercedes-Benz","E-Class","Passenger","4","1.9","66","4.4","1,500"
"Isuzu","MU-X","SUV","4","3.0","65","8.0","813"
"LDV","D90","SUV","4","2.0","75","9.1","824"
"SsangYong","Rexton","SUV","4","2.2","70","8.3","843"
"Mitsubishi","Pajero  Sport","SUV","4","2.4","68","8.0","850"
"Holden","Trailblazer","SUV","4","2.8","76","8.6","884"
"Land  Rover","Range  Rover Sport","SUV","8","4.4","86","9.4","915"
"Toyota","Fortuner","SUV","4","2.8","80","8.6","930"
"SKODA","Kodiaq","SUV","4","2.0","60","6.4","938"
"Hyundai","Santa  Fe","SUV","4","2.2","71","7.5","947"
"Ford","Everest","SUV","5","3.2","80","8.4","952"
"Subaru","Outback","SUV","4","2.0","60","6.3","952"
"Mitsubishi","Pajero","SUV","4","3.2","88","9.1","967"
"Land  Rover","Range  Rover Velar","SUV","4","2.0","60","6.2","968"
"Land  Rover","Range  Rover Velar","SUV","6","3.0","66","6.8","971"
"Kia","Sorento","SUV","4","2.2","71","7.2","986"
"Jaguar","F-PACE","SUV","6","3.0","66","6.6","1,000"
"Maserati","Levante","SUV","6","3.0","80","7.9","1,013"
"Volkswagen","Touareg","SUV","6","3.0","75","7.4","1,014"
"Jaguar","F-PACE","SUV","4","2.0","60","5.8","1,035"
"Mercedes-Benz","GLE-Class","SUV","6","2.9","80","7.7","1,039"
"Volvo","V90  Cross Country","SUV","4","2.0","60","5.7","1,053"
"Jeep","Wrangler","SUV","4","2.2","81","7.5","1,080"
"Land  Rover","Range  Rover Sport","SUV","6","3.0","86","7.8","1,103"
"BMW","X5","SUV","6","3.0","80","7.2","1,111"
"Audi","SQ7","SUV","8","4.0","85","7.6","1,118"
"BMW","X6","SUV","6","3.0","80","7.1","1,127"
"BMW","X5","SUV","4","2.0","80","6.9","1,159"
"Ford","Everest","SUV","4","2.0","80","6.9","1,159"
"Mercedes-Benz","GLE-Class","SUV","4","2.0","80","6.9","1,159"
"Volvo","XC90","SUV","4","2.0","71","5.9","1,203"
"Audi","Q7","SUV","6","3.0","85","7.0","1,214"
"Jeep","Grand  Cherokee","SUV","6","3.0","93","7.5","1,240"
"Mazda","CX-8","SUV","4","2.2","72","5.7","1,263"
"Toyota","Landcruiser  Prado","SUV","4","2.8","150","7.9","1,899"
"Mercedes-Benz","C-Class","Passenger","4","1.9","66","4.7","1,404"
"Mitsubishi","Outlander","SUV","4","2.2","60","6.2","968"
"Hyundai","Tucson","SUV","4","2.0","62","6.4","969"
"Kia","Sportage","SUV","4","2.0","62","6.4","969"
"Nissan","X-TRAIL","SUV","4","2.0","60","6.0","1,000"
"Mazda","CX-5","SUV","4","2.2","58","5.7","1,018"
"Audi","Q5","SUV","6","3.0","65","6.3","1,032"
"Peugeot","3008","SUV","4","2.0","53","5.0","1,060"
"Alpina","XD3","SUV","6","3.0","68","6.4","1,063"
"Ford","Escape","SUV","4","2.0","60","5.5","1,091"
"Land  Rover","Defender","SUV","4","2.0","85","7.7","1,104"
"Volvo","XC60","SUV","4","2.0","60","5.4","1,111"
"Peugeot","5008","SUV","4","2.0","56","5.0","1,120"
"BMW","X3","SUV","6","3.0","68","6.0","1,133"
"Land  Rover","Discovery  Sport","SUV","4","2.0","65","5.7","1,140"
"Land  Rover","Range  Rover Evoque","SUV","4","2.0","65","5.7","1,140"
"Audi","Q5","SUV","4","2.0","65","5.4","1,204"
"Alfa  Romeo","Stelvio","SUV","4","2.2","64","4.8","1,333"
"Hyundai","iMax","Passenger","4","2.5","75","8.8","852"
"LDV","G10","Passenger","4","1.9","75","8.7","862"
"Toyota","Granvia","Passenger","4","2.8","70","8.0","875"
"Mercedes-Benz","Marco  Polo ACTIVITY","Passenger","4","2.1","70","6.9","1,015"
"Mercedes-Benz","V-Class","Passenger","4","2.1","70","6.7","1,045"
"Kia","Carnival","Passenger","4","2.2","80","7.6","1,053"
"Mercedes-Benz","Valente","Passenger","4","2.1","70","6.6","1,061"
"Great  Wall","Steed","Light  Commercial","4","2.0","70","8.2","854"
"Holden","Colorado","Light  Commercial","4","2.8","76","8.6","884"
"Mazda","BT-50","Light  Commercial","5","3.2","80","8.9","899"
"Mitsubishi","Triton","Light  Commercial","4","2.4","75","7.8","962"
"Ford","Ranger","Light  Commercial","5","3.2","80","8.2","976"
"Mazda","BT-50","Light  Commercial","4","2.2","80","8.0","1,000"
"Toyota","Hilux","Light  Commercial","4","2.8","80","7.9","1,013"
"Toyota","Hilux","Light  Commercial","4","2.4","80","7.8","1,026"
"Mercedes-Benz","X-Class","Light  Commercial","4","2.3","80","7.6","1,053"
"Isuzu","D-MAX","Light  Commercial","4","3.0","76","7.2","1,056"
"Ford","Ranger","Light  Commercial","4","2.0","80","6.7","1,194"
"Ford","Ranger","Light  Commercial","4","2.2","80","6.5","1,231"
"Nissan","Navara","Light  Commercial","4","2.3","80","6.4","1,250"
"RAM","1500","Light  Commercial","6","3.0","98","11.9","824"
"Volkswagen","Amarok","Light  Commercial","6","3.0","80","9.7","825"
"LDV","T60","Light  Commercial","4","2.8","75","8.8","852"
"SsangYong","Musso","Light  Commercial","4","2.2","75","8.6","872"
"LDV","T60","Light  Commercial","4","2.0","75","8.5","882"
"Holden  Special Vehicles","Colorado","Light  Commercial","4","2.8","76","8.6","884"
"Mercedes-Benz","X-Class","Light  Commercial","6","3.0","80","8.8","909"
"Volkswagen","Amarok","Light  Commercial","4","2.0","80","8.0","1,000"
"Toyota","Landcruiser","Light  Commercial","8","4.5","130","10.7","1,215"
"Foton","Tunland","Light  Commercial","4","2.8","76","8.9","854"
"Mahindra","PIK-UP","Light  Commercial","4","2.2","80","8.5","941"
"Hyundai","i30","Passenger","4","1.6","50","4.7","1,064"
"SsangYong","Korando","SUV","4","1.6","47","5.5","855"
"Jaguar","E-PACE","SUV","4","2.0","55","6.0","917"
"BMW","X2","SUV","4","2.0","51","5.1","1,000"
"MINI","Countryman","SUV","4","2.0","51","4.8","1,063"
"BMW","X1","SUV","4","2.0","61","5.3","1,151"
"Jeep","Compass","SUV","4","2.0","66","5.7","1,158"
"Mercedes-Benz","S-Class","Passenger","6","2.9","70","5.4","1,296"
"BMW","7  Series","Passenger","6","3.0","78","5.7","1,368"
"Audi","A8","Passenger","6","3.0","82","5.9","1,390"
"Land  Rover","Range  Rover","SUV","8","4.4","86","9.3","925"
"Lexus","LX","SUV","8","4.5","93","9.5","979"
"Land  Rover","Discovery","SUV","4","2.0","77","7.4","1,041"
"Land  Rover","Range  Rover","SUV","6","3.0","86","7.9","1,089"
"Audi","SQ8","SUV","8","4.0","85","7.8","1,090"
"Land  Rover","Discovery","SUV","6","3.0","85","7.8","1,090"
"BMW","X7","SUV","6","3.0","80","7.3","1,096"
"Mercedes-Benz","GLS-Class","SUV","6","2.9","90","7.7","1,169"
"Audi","Q8","SUV","6","3.0","85","6.9","1,232"
"Fiat","Ducato","Heavy  Commercial","4","2.3","90","6.1","1,475"
"LDV","V80","Light  Commercial","4","2.5","80","9.4","851"
"Toyota","Hiace","Light  Commercial","4","2.8","70","7.5","933"
"Hyundai","iLoad","Light  Commercial","4","2.5","75","7.6","987"
"Mercedes-Benz","Vito","Light  Commercial","4","2.1","70","6.9","1,015"
"Volkswagen","Caddy","Light  Commercial","4","2.0","55","5.3","1,038"
"Ford","Transit  Custom","Light  Commercial","4","2.0","72","6.6","1,091"
"Mitsubishi","Express","Light  Commercial","4","2.0","80","7.3","1,096"
"Renault","Trafic","Light  Commercial","4","2.0","80","7.3","1,096"
"Peugeot","Expert","Light  Commercial","4","2.0","69","6.2","1,113"
"Mercedes-Benz","Vito","Light  Commercial","4","1.6","70","6.2","1,129"
"Renault","Kangoo","Light  Commercial","4","1.5","60","5.2","1,154"
"Renault","Trafic","Light  Commercial","4","1.6","80","6.6","1,212"
"Mitsubishi","Express","Light  Commercial","4","1.6","80","6.2","1,290"
"Peugeot","Expert","Light  Commercial","4","1.6","69","5.2","1,327"
